countyFIPS,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers
1001,24124,24124,17659,73.2,5075,21.0,1360,5.6,30,0.1
1003,93379,93379,74664,80.0,12299,13.2,6287,6.7,129,0.1
1005,8720,8720,6596,75.6,1609,18.5,496,5.7,19,0.2
1007,8099,8099,6303,77.8,1297,16.0,445,5.5,54,0.7
1009,21346,21346,17759,83.2,2527,11.8,1014,4.8,46,0.2
1011,3940,3940,3038,77.1,693,17.6,209,5.3,0,0.0
1013,7885,7885,6412,81.3,1142,14.5,322,4.1,9,0.1
1015,48157,48157,36453,75.7,8973,18.6,2652,5.5,79,0.2
1017,14786,14786,12191,82.4,1966,13.3,610,4.1,19,0.1
1019,9805,9805,7596,77.5,1501,15.3,708,7.2,0,0.0
1021,17500,17500,14560,83.2,2050,11.7,865,4.9,25,0.1
1023,4264,4264,3302,77.4,759,17.8,198,4.6,5,0.1
1025,7647,7647,6346,83.0,935,12.2,363,4.7,3,0.0
1027,5542,5542,4430,79.9,750,13.5,334,6.0,28,0.5
1029,5628,5628,4242,75.4,974,17.3,401,7.1,11,0.2
1031,21725,21725,15561,71.6,4835,22.3,1301,6.0,28,0.1
1033,22436,22436,17786,79.3,3323,14.8,1260,5.6,67,0.3
1035,3892,3892,3124,80.3,524,13.5,223,5.7,21,0.5
1037,4110,4110,3320,80.8,628,15.3,162,3.9,0,0.0
1039,14899,14899,11760,78.9,2133,14.3,993,6.7,13,0.1
1041,5612,5612,4182,74.5,961,17.1,458,8.2,11,0.2
1043,33003,33003,26651,80.8,3786,11.5,2452,7.4,114,0.3
1045,18025,18025,13307,73.8,3590,19.9,1100,6.1,28,0.2
1047,14295,14295,11356,79.4,2177,15.2,714,5.0,48,0.3
1049,28637,28637,22653,79.1,3214,11.2,2752,9.6,18,0.1
1051,33811,33811,24924,73.7,7100,21.0,1739,5.1,48,0.1
1053,12182,12182,9197,75.5,2309,19.0,661,5.4,15,0.1
1055,42367,42367,34263,80.9,5761,13.6,2267,5.4,76,0.2
1057,6380,6380,5240,82.1,840,13.2,285,4.5,15,0.2
1059,12849,12849,10160,79.1,1992,15.5,695,5.4,2,0.0
1061,10047,10047,7406,73.7,1563,15.6,1029,10.2,49,0.5
1063,2204,2204,1533,69.6,581,26.4,90,4.1,0,0.0
1065,5083,5083,4162,81.9,604,11.9,317,6.2,0,0.0
1067,6868,6868,5674,82.6,843,12.3,342,5.0,9,0.1
1069,44291,44291,36293,81.9,5265,11.9,2632,5.9,101,0.2
1071,20189,20189,15842,78.5,2958,14.7,1348,6.7,41,0.2
1073,302428,302428,248342,82.1,40134,13.3,13511,4.5,441,0.1
1075,5338,5338,4130,77.4,847,15.9,307,5.8,54,1.0
1077,40130,40130,31006,77.3,6496,16.2,2555,6.4,73,0.2
1079,12568,12568,9849,78.4,1905,15.2,807,6.4,7,0.1
1081,72956,72956,56665,77.7,12882,17.7,3284,4.5,125,0.2
1083,39595,39595,30759,77.7,6363,16.1,2349,5.9,124,0.3
1085,3457,3457,2781,80.4,564,16.3,109,3.2,3,0.1
1087,7289,7289,5649,77.5,1278,17.5,362,5.0,0,0.0
1089,172631,172631,132386,76.7,32376,18.8,7562,4.4,307,0.2
1091,6563,6563,4963,75.6,1131,17.2,406,6.2,63,1.0
1093,11980,11980,9282,77.5,1954,16.3,721,6.0,23,0.2
1095,38997,38997,30961,79.4,5144,13.2,2846,7.3,46,0.1
1097,174229,174229,143618,82.4,22300,12.8,8022,4.6,289,0.2
1099,6422,6422,4998,77.8,1134,17.7,290,4.5,0,0.0
1101,100599,100599,74720,74.3,21084,21.0,4701,4.7,94,0.1
1103,51513,51513,42133,81.8,6589,12.8,2618,5.1,173,0.3
1105,2325,2325,1636,70.4,519,22.3,170,7.3,0,0.0
1107,7136,7136,5426,76.0,1285,18.0,415,5.8,10,0.1
1109,14093,14093,10957,77.7,2319,16.5,769,5.5,48,0.3
1111,8628,8628,6852,79.4,1007,11.7,760,8.8,9,0.1
1113,23550,23550,18119,76.9,4548,19.3,862,3.7,21,0.1
1115,38881,38881,32512,83.6,4220,10.9,2096,5.4,53,0.1
1117,105724,105724,87473,82.7,12887,12.2,5120,4.8,244,0.2
1119,4207,4207,2862,68.0,1201,28.5,138,3.3,6,0.1
1121,31082,31082,25035,80.5,4691,15.1,1317,4.2,39,0.1
1123,15083,15083,12240,81.2,2053,13.6,734,4.9,56,0.4
1125,93450,93450,72027,77.1,17302,18.5,4016,4.3,105,0.1
1127,24707,24707,19681,79.7,3547,14.4,1470,5.9,9,0.0
1129,5538,5538,4569,82.5,623,11.2,296,5.3,50,0.9
1131,2882,2882,2219,77.0,507,17.6,156,5.4,0,0.0
1133,9000,9000,6952,77.2,1225,13.6,823,9.1,0,0.0
2013,2395,2395,1662,69.4,541,22.6,186,7.8,6,0.3
2016,3889,3889,3095,79.6,659,16.9,134,3.4,1,0.0
2020,150201,150201,109183,72.7,32276,21.5,8562,5.7,180,0.1
2050,6178,6178,3192,51.7,2847,46.1,125,2.0,14,0.2
2060,488,488,265,54.3,172,35.2,51,10.5,0,0.0
2068,1478,1478,1137,76.9,261,17.7,66,4.5,14,0.9
2070,2024,2024,1191,58.8,753,37.2,80,4.0,0,0.0
2090,46543,46543,30122,64.7,14054,30.2,2230,4.8,137,0.3
2100,1329,1329,846,63.7,288,21.7,182,13.7,13,1.0
2105,1068,1068,585,54.8,334,31.3,146,13.7,3,0.3
2110,17562,17562,9290,52.9,6797,38.7,1445,8.2,30,0.2
2122,25564,25564,17803,69.6,4922,19.3,2623,10.3,216,0.8
2130,7017,7017,4661,66.4,1768,25.2,554,7.9,34,0.5
2150,6919,6919,4369,63.1,1975,28.5,575,8.3,0,0.0
2158,2088,2088,842,40.3,1216,58.2,30,1.4,0,0.0
2164,594,594,227,38.2,336,56.6,28,4.7,3,0.5
2170,43000,43000,31000,72.1,8538,19.9,3328,7.7,134,0.3
2180,3664,3664,1810,49.4,1701,46.4,144,3.9,9,0.2
2185,5465,5465,3812,69.8,1616,29.6,37,0.7,0,0.0
2188,2636,2636,1285,48.7,1287,48.8,60,2.3,4,0.2
2195,1577,1577,1019,64.6,377,23.9,181,11.5,0,0.0
2198,2789,2789,1339,48.0,1138,40.8,285,10.2,27,1.0
2220,4746,4746,2773,58.4,1449,30.5,514,10.8,10,0.2
2230,695,695,496,71.4,143,20.6,51,7.3,5,0.7
2240,2896,2896,1716,59.3,967,33.4,200,6.9,13,0.4
2261,4744,4744,2776,58.5,1555,32.8,374,7.9,39,0.8
2275,1128,1128,559,49.6,392,34.8,146,12.9,31,2.7
2282,357,357,163,45.7,148,41.5,46,12.9,0,0.0
2290,2118,2118,855,40.4,1157,54.6,106,5.0,0,0.0
4001,18365,18365,9349,50.9,8137,44.3,862,4.7,17,0.1
4003,43097,43097,27789,64.5,12655,29.4,2570,6.0,83,0.2
4005,66310,66310,47648,71.9,15259,23.0,3272,4.9,131,0.2
4007,18162,18162,13081,72.0,4011,22.1,1038,5.7,32,0.2
4009,12837,12837,9418,73.4,2789,21.7,603,4.7,27,0.2
4011,3812,3812,3104,81.4,552,14.5,151,4.0,5,0.1
4012,6466,6466,4336,67.1,1735,26.8,395,6.1,0,0.0
4013,2004236,2004236,1660520,82.9,220664,11.0,119971,6.0,3081,0.2
4015,71244,71244,56000,78.6,10002,14.0,5031,7.1,211,0.3
4017,33272,33272,20697,62.2,10436,31.4,2069,6.2,70,0.2
4019,440596,440596,336042,76.3,75003,17.0,28741,6.5,810,0.2
4021,150294,150294,116890,77.8,24719,16.4,8318,5.5,367,0.2
4023,17233,17233,11949,69.3,3458,20.1,1803,10.5,23,0.1
4025,84142,84142,64930,77.2,11470,13.6,7625,9.1,117,0.1
4027,75912,75912,57018,75.1,15431,20.3,3316,4.4,147,0.2
5001,7796,7796,5846,75.0,1335,17.1,526,6.7,89,1.1
5003,7728,7728,6287,81.4,1170,15.1,241,3.1,30,0.4
5005,16232,16232,12963,79.9,1871,11.5,1296,8.0,102,0.6
5007,125343,125343,107662,85.9,10150,8.1,7402,5.9,129,0.1
5009,16145,16145,12377,76.7,2324,14.4,1382,8.6,62,0.4
5011,4209,4209,3231,76.8,721,17.1,257,6.1,0,0.0
5013,2155,2155,1565,72.6,525,24.4,65,3.0,0,0.0
5015,11867,11867,9224,77.7,1444,12.2,1191,10.0,8,0.1
5017,3583,3583,2560,71.4,904,25.2,112,3.1,7,0.2
5019,10475,10475,8191,78.2,1718,16.4,547,5.2,19,0.2
5021,6249,6249,4828,77.3,880,14.1,529,8.5,12,0.2
5023,10235,10235,7966,77.8,1153,11.3,1087,10.6,29,0.3
5025,3230,3230,2313,71.6,758,23.5,159,4.9,0,0.0
5027,9469,9469,7372,77.9,1598,16.9,494,5.2,5,0.1
5029,8870,8870,7002,78.9,1306,14.7,559,6.3,3,0.0
5031,48814,48814,39343,80.6,6149,12.6,3227,6.6,95,0.2
5033,25985,25985,21579,83.0,3261,12.5,1101,4.2,44,0.2
5035,20402,20402,15896,77.9,3254,15.9,1240,6.1,12,0.1
5037,7516,7516,5538,73.7,1449,19.3,494,6.6,35,0.5
5039,2944,2944,2276,77.3,618,21.0,50,1.7,0,0.0
5041,4426,4426,2967,67.0,1278,28.9,181,4.1,0,0.0
5043,7825,7825,5550,70.9,1839,23.5,436,5.6,0,0.0
5045,57226,57226,45471,79.5,8410,14.7,3288,5.7,57,0.1
